GHCN_ID,month,day,hour,ANN-TMIN-PRBOCC-LSTH016,meas_flag_ANN-TMIN-PRBOCC-LSTH016,comp_flag_ANN-TMIN-PRBOCC-LSTH016,years_ANN-TMIN-PRBOCC-LSTH016,ANN-TMIN-PRBOCC-LSTH020,meas_flag_ANN-TMIN-PRBOCC-LSTH020,comp_flag_ANN-TMIN-PRBOCC-LSTH020,years_ANN-TMIN-PRBOCC-LSTH020,ANN-TMIN-PRBOCC-LSTH024,meas_flag_ANN-TMIN-PRBOCC-LSTH024,comp_flag_ANN-TMIN-PRBOCC-LSTH024,years_ANN-TMIN-PRBOCC-LSTH024,ANN-TMIN-PRBOCC-LSTH028,meas_flag_ANN-TMIN-PRBOCC-LSTH028,comp_flag_ANN-TMIN-PRBOCC-LSTH028,years_ANN-TMIN-PRBOCC-LSTH028,ANN-TMIN-PRBOCC-LSTH032,meas_flag_ANN-TMIN-PRBOCC-LSTH032,comp_flag_ANN-TMIN-PRBOCC-LSTH032,years_ANN-TMIN-PRBOCC-LSTH032,ANN-TMIN-PRBOCC-LSTH036,meas_flag_ANN-TMIN-PRBOCC-LSTH036,comp_flag_ANN-TMIN-PRBOCC-LSTH036,years_ANN-TMIN-PRBOCC-LSTH036
AQW00061705,99,99,99,     0.0, ,S,29,     0.0, ,S,29,     0.0, ,S,29,     0.0, ,S,29,     0.0, ,S,29,     0.0, ,S,29
CAW00064757,99,99,99,   100.0, ,R,16,   100.0, ,R,16,   100.0, ,R,16,   100.0, ,R,16,   100.0, ,R,16,   100.0, ,R,16
CQC00914080,99,99,99,     0.0, ,R,21,     0.0, ,R,21,     0.0, ,R,21,     0.0, ,R,21,     0.0, ,R,21,     0.0, ,R,21
CQC00914801,99,99,99,     0.0, ,R,19,     0.0, ,R,19,     0.0, ,R,19,     0.0, ,R,19,     0.0, ,R,19,     0.0, ,R,19
CQC00914855,99,99,99,     0.0, ,R,15,     0.0, ,R,15,     0.0, ,R,15,     0.0, ,R,15,     0.0, ,R,15,     0.0, ,R,15
FMC00914395,99,99,99,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27
FMC00914419,99,99,99,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14
FMC00914446,99,99,99,     0.0, ,R,15,     0.0, ,R,15,     0.0, ,R,15,     0.0, ,R,15,     0.0, ,R,15,     0.0, ,R,15
FMC00914720,99,99,99,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17
FMC00914761,99,99,99,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14
FMC00914831,99,99,99,     0.0, ,R,11,     0.0, ,R,11,     0.0, ,R,11,     0.0, ,R,11,     0.0, ,R,11,     0.0, ,R,11
FMC00914843,99,99,99,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13
FMC00914892,99,99,99,     0.0, ,R,11,     0.0, ,R,11,     0.0, ,R,11,     0.0, ,R,11,     0.0, ,R,11,     0.0, ,R,11
FMC00914898,99,99,99,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17
FMC00914911,99,99,99,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13
FMW00040308,99,99,99,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30
FMW00040504,99,99,99,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30
FMW00040505,99,99,99,     0.0, ,S,29,     0.0, ,S,29,     0.0, ,S,29,     0.0, ,S,29,     0.0, ,S,29,     0.0, ,S,29
GQC00914025,99,99,99,     0.0, ,R,12,     0.0, ,R,12,     0.0, ,R,12,     0.0, ,R,12,     0.0, ,R,12,     0.0, ,R,12
GQW00041415,99,99,99,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30
JQW00021603,99,99,99,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13
PSC00914519,99,99,99,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17
PSC00914712,99,99,99,     0.0, ,P,19,     0.0, ,P,19,     0.0, ,P,19,     0.0, ,P,19,     0.0, ,P,19,     0.0, ,P,19
PSW00040309,99,99,99,     0.0, ,S,28,     0.0, ,S,28,     0.0, ,S,28,     0.0, ,S,28,     0.0, ,S,28,     0.0, ,S,28
RMC00914053,99,99,99,     0.0, ,P,11,     0.0, ,P,11,     0.0, ,P,11,     0.0, ,P,11,     0.0, ,P,11,     0.0, ,P,11
RMW00040604,99,99,99,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30,     0.0, ,S,30
RMW00040710,99,99,99,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27
RQC00660061,99,99,99,     0.0, ,R,23,     0.0, ,R,23,     0.0, ,R,23,     0.0, ,R,23,     0.0, ,R,23,     0.0, ,R,23
RQC00660152,99,99,99,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17
RQC00660158,99,99,99,     0.0, ,P,23,     0.0, ,P,23,     0.0, ,P,23,     0.0, ,P,23,     0.0, ,P,23,     0.0, ,P,23
RQC00660426,99,99,99,     0.0, ,P,20,     0.0, ,P,20,     0.0, ,P,20,     0.0, ,P,20,     0.0, ,P,20,     0.0, ,P,20
RQC00662801,99,99,99,     0.0, ,S,26,     0.0, ,S,26,     0.0, ,S,26,     0.0, ,S,26,     0.0, ,S,26,     0.0, ,S,26
RQC00663409,99,99,99,     0.0, ,P,12,     0.0, ,P,12,     0.0, ,P,12,     0.0, ,P,12,     0.0, ,P,12,     0.0, ,P,12
RQC00663431,99,99,99,     0.0, ,R,24,     0.0, ,R,24,     0.0, ,R,24,     0.0, ,R,24,     0.0, ,R,24,     0.0, ,R,24
RQC00664193,99,99,99,     0.0, ,S,26,     0.0, ,S,26,     0.0, ,S,26,     0.0, ,S,26,     0.0, ,S,26,     0.0, ,S,26
RQC00664276,99,99,99,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14
RQC00664702,99,99,99,     0.0, ,P,24,     0.0, ,P,24,     0.0, ,P,24,     0.0, ,P,24,     0.0, ,P,24,     0.0, ,P,24
RQC00665064,99,99,99,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27,     0.0, ,S,27
RQC00665097,99,99,99,     0.0, ,P,27,     0.0, ,P,27,     0.0, ,P,27,     0.0, ,P,27,     0.0, ,P,27,     0.0, ,P,27
RQC00665693,99,99,99,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17,     0.0, ,R,17
RQC00665807,99,99,99,     0.0, ,P,27,     0.0, ,P,27,     0.0, ,P,27,     0.0, ,P,27,     0.0, ,P,27,     0.0, ,P,27
RQC00665908,99,99,99,     0.0, ,P,19,     0.0, ,P,19,     0.0, ,P,19,     0.0, ,P,19,     0.0, ,P,19,     0.0, ,P,19
RQC00666073,99,99,99,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13
RQC00666258,99,99,99,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17,     0.0, ,P,17
RQC00666730,99,99,99,     0.0, ,P,11,     0.0, ,P,11,     0.0, ,P,11,     0.0, ,P,11,     0.0, ,P,11,     0.0, ,P,11
RQC00666992,99,99,99,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13
RQC00667292,99,99,99,     0.0, ,P,18,     0.0, ,P,18,     0.0, ,P,18,     0.0, ,P,18,     0.0, ,P,18,     0.0, ,P,18
RQC00668306,99,99,99,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13
