GHCN_ID,month,day,hour,MAM-TAVG-NORMAL,meas_flag_MAM-TAVG-NORMAL,comp_flag_MAM-TAVG-NORMAL,years_MAM-TAVG-NORMAL,MAM-TMIN-NORMAL,meas_flag_MAM-TMIN-NORMAL,comp_flag_MAM-TMIN-NORMAL,years_MAM-TMIN-NORMAL,MAM-TMAX-NORMAL,meas_flag_MAM-TMAX-NORMAL,comp_flag_MAM-TMAX-NORMAL,years_MAM-TMAX-NORMAL,MAM-DUTR-NORMAL,meas_flag_MAM-DUTR-NORMAL,comp_flag_MAM-DUTR-NORMAL,years_MAM-DUTR-NORMAL
CAW00064757,99,99,99,    41.5, ,R,16,    31.8, ,R,16,    51.2, ,R,16,    19.4, ,R,16
CQC00914080,99,99,99,    78.6, ,R,21,    74.0, ,R,21,    83.2, ,R,22,     9.2, ,R,21
CQC00914801,99,99,99,    80.2, ,R,19,    75.1, ,R,19,    85.2, ,R,22,    10.1, ,R,19
CQC00914855,99,99,99,    81.7, ,R,15,    76.7, ,R,15,    86.7, ,R,15,    10.0, ,R,15
FMC00914395,99,99,99,    80.7, ,S,27,    73.8, ,S,27,    87.7, ,S,27,    13.9, ,S,27
FMC00914419,99,99,99,    81.9, ,P,13,    75.2, ,P,13,    88.6, ,P,13,    13.4, ,P,13
FMC00914446,99,99,99,    82.7, ,R,15,    77.5, ,R,15,    88.0, ,R,16,    10.5, ,R,15
FMC00914720,99,99,99,    82.3, ,R,16,    74.9, ,R,16,    89.8, ,R,16,    15.0, ,R,16
FMC00914761,99,99,99,    82.7, ,P,13,    75.4, ,P,13,    90.0, ,P,13,    14.6, ,P,13
FMC00914831,99,99,99,    81.5, ,R,10,    76.4, ,R,11,    86.6, ,R,10,    10.2, ,R,10
FMC00914843,99,99,99,    80.9, ,P,13,    74.7, ,P,13,    87.1, ,P,14,    12.3, ,P,13
FMC00914892,99,99,99,    81.7, ,R,11,    75.6, ,R,11,    87.8, ,R,11,    12.3, ,R,11
FMC00914898,99,99,99,    81.0, ,P,15,    75.5, ,P,15,    86.6, ,P,15,    11.1, ,P,15
FMC00914911,99,99,99,    81.2, ,P,13,    74.5, ,P,13,    87.9, ,P,13,    13.5, ,P,13
FMW00040308,99,99,99,    82.0, ,S,30,    75.5, ,S,30,    88.5, ,S,30,    13.0, ,S,30
FMW00040504,99,99,99,    81.2, ,S,30,    74.9, ,S,30,    87.5, ,S,30,    12.6, ,S,30
GQC00914025,99,99,99,    81.2, ,R,12,    77.1, ,R,12,    85.2, ,R,12,     8.0, ,R,12
JQW00021603,99,99,99,    80.0, ,P,13,    74.4, ,P,13,    85.7, ,P,13,    11.3, ,P,13
PSC00914519,99,99,99,    80.4, ,R,17,    73.5, ,R,17,    87.2, ,R,18,    13.8, ,R,17
PSC00914712,99,99,99,    81.9, ,P,19,    78.3, ,P,19,    85.5, ,P,19,     7.2, ,P,19
PSW00040309,99,99,99,    82.7, ,S,28,    76.4, ,S,28,    89.1, ,S,28,    12.8, ,S,28
RMC00914053,99,99,99,    81.5, ,P,11,    76.4, ,P,11,    86.6, ,P,11,    10.2, ,P,11
RMW00040604,99,99,99,    82.8, ,S,30,    78.9, ,S,30,    86.8, ,S,30,     7.9, ,S,30
RQC00660061,99,99,99,    70.4, ,R,23,    59.3, ,R,23,    81.4, ,S,25,    22.1, ,R,23
RQC00660152,99,99,99,    77.4, ,P,13,    69.4, ,P,16,    85.4, ,P,13,    15.9, ,P,13
RQC00660158,99,99,99,    70.7, ,P,22,    63.6, ,P,22,    77.8, ,S,25,    14.2, ,P,22
RQC00660426,99,99,99,    72.9, ,P,19,    62.5, ,P,19,    83.3, ,S,27,    20.8, ,P,19
RQC00662801,99,99,99,    77.6, ,P,22,    68.7, ,S,25,    86.4, ,P,22,    17.7, ,P,22
RQC00663409,99,99,99,    77.0, ,P,12,    69.9, ,P,12,    84.1, ,P,12,    14.2, ,P,12
RQC00663431,99,99,99,    77.0, ,R,20,    66.5, ,R,20,    87.5, ,S,26,    21.0, ,R,20
RQC00664193,99,99,99,    80.3, ,P,21,    73.8, ,S,26,    86.9, ,R,21,    13.1, ,P,21
RQC00664276,99,99,99,    76.6, ,P,13,    65.7, ,P,13,    87.5, ,P,18,    21.8, ,P,13
RQC00664702,99,99,99,    76.2, ,P,22,    68.8, ,S,24,    83.5, ,R,22,    14.7, ,P,22
RQC00665064,99,99,99,    76.4, ,S,27,    67.9, ,S,27,    84.9, ,S,30,    17.1, ,S,27
RQC00665097,99,99,99,    77.2, ,S,26,    65.9, ,S,26,    88.5, ,S,27,    22.5, ,S,26
RQC00665693,99,99,99,    79.7, ,R,17,    72.5, ,R,17,    86.9, ,R,19,    14.3, ,R,17
RQC00665807,99,99,99,    75.8, ,P,22,    67.8, ,S,27,    83.9, ,R,22,    16.1, ,P,22
RQC00665908,99,99,99,    70.1, ,P,10,    63.1, ,P,10,    77.1, ,P,14,    14.0, ,P,10
RQC00666073,99,99,99,    78.3, ,P,13,    69.2, ,P,13,    87.5, ,P,13,    18.3, ,P,13
RQC00666258,99,99,99,    78.9, ,P,17,    69.7, ,P,17,    88.2, ,P,18,    18.6, ,P,17
RQC00666730,99,99,99,    76.3, ,P,11,    67.7, ,P,11,    84.8, ,P,11,    17.0, ,P,11
RQC00666992,99,99,99,    64.0, ,P,12,    60.2, ,P,12,    67.9, ,P,13,     7.7, ,P,12
RQC00667292,99,99,99,    76.7, ,P,18,    64.7, ,P,18,    88.6, ,P,22,    23.9, ,P,18
RQC00668306,99,99,99,    77.8, ,P,12,    68.4, ,P,12,    87.2, ,P,12,    18.8, ,P,12
