GHCN_ID,month,day,hour,MAM-TMAX-AVGNDS-GRTH076,meas_flag_MAM-TMAX-AVGNDS-GRTH076,comp_flag_MAM-TMAX-AVGNDS-GRTH076,years_MAM-TMAX-AVGNDS-GRTH076,MAM-TMAX-AVGNDS-GRTH085,meas_flag_MAM-TMAX-AVGNDS-GRTH085,comp_flag_MAM-TMAX-AVGNDS-GRTH085,years_MAM-TMAX-AVGNDS-GRTH085,MAM-TMAX-AVGNDS-GRTH094,meas_flag_MAM-TMAX-AVGNDS-GRTH094,comp_flag_MAM-TMAX-AVGNDS-GRTH094,years_MAM-TMAX-AVGNDS-GRTH094,MAM-TMAX-AVGNDS-GRTH103,meas_flag_MAM-TMAX-AVGNDS-GRTH103,comp_flag_MAM-TMAX-AVGNDS-GRTH103,years_MAM-TMAX-AVGNDS-GRTH103,MAM-TMAX-AVGNDS-LSTH031,meas_flag_MAM-TMAX-AVGNDS-LSTH031,comp_flag_MAM-TMAX-AVGNDS-LSTH031,years_MAM-TMAX-AVGNDS-LSTH031
CQC00914080,99,99,99,    91.4, ,R,22,    13.8, ,R,22,     0.0, ,R,22,     0.0, ,R,22,     0.0, ,R,22
CQC00914801,99,99,99,    91.9, ,R,22,    41.8, ,R,22,     0.0, ,R,22,     0.0, ,R,22,     0.0, ,R,22
CQC00914855,99,99,99,    91.9, ,R,15,    75.1, ,R,15,     0.1, ,R,15,     0.0, ,R,15,     0.0, ,R,15
FMC00914395,99,99,99,    92.0, ,S,27,    79.3, ,S,27,     0.5, ,S,27,     0.0, ,S,27,     0.0, ,S,27
FMC00914419,99,99,99,    92.0, ,P,13,    85.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13,     0.0, ,P,13
FMC00914446,99,99,99,    92.0, ,R,16,    81.8, ,R,16,     0.3, ,R,16,     0.0, ,R,16,     0.0, ,R,16
FMC00914720,99,99,99,    92.0, ,R,16,    89.5, ,R,16,     0.5, ,R,16,     0.0, ,R,16,     0.0, ,R,16
FMC00914761,99,99,99,    92.0, ,P,13,    90.0, ,P,13,     0.2, ,P,13,     0.0, ,P,13,     0.0, ,P,13
FMC00914831,99,99,99,    92.0, ,R,10,    72.7, ,R,10,     0.0, ,R,10,     0.0, ,R,10,     0.0, ,R,10
FMC00914843,99,99,99,    91.9, ,P,14,    73.1, ,P,14,     0.0, ,P,14,     0.0, ,P,14,     0.0, ,P,14
