Table 8,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2022",,,,,,,,,,,,
State,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
ALABAMA,Abbeville,"2,390",13,0,0,0,13,42,10,30,2,0
,Adamsville,"4,233",19,1,0,0,18,230,18,195,17,0
,Addison,672,4,0,0,0,4,19,8,9,2,0
,Alabaster,"33,974",33,0,3,8,22,712,14,678,20,0
,Alexander City,"14,476",115,2,5,7,101,670,294,326,50,2
,Aliceville,"2,081",0,0,0,0,0,4,1,3,0,0
,Andalusia,"8,699",42,2,4,5,31,346,110,203,33,1
,Anniston,"21,007",177,4,11,17,145,"1,152",246,766,140,4
,Arab,"8,550",28,0,6,3,19,290,48,210,32,1
,Ardmore,"1,406",5,0,0,0,5,23,5,13,5,1
,Argo,"4,421",3,0,0,0,3,15,2,10,3,0
,Ashford,"2,255",4,0,0,0,4,10,0,10,0,0
,Ashland,"1,962",11,0,0,0,11,31,6,24,1,1
,Ashville,"2,376",5,0,0,1,4,31,6,21,4,0
,Athens,"28,438",59,1,4,8,46,765,136,589,40,0
,Atmore,"8,536",127,0,7,3,117,365,53,280,32,0
,Attalla,"5,840",22,2,1,5,14,460,231,205,24,0
,Auburn,"80,759",106,3,23,8,72,937,74,797,66,0
,Autaugaville,787,1,0,0,0,1,2,1,0,1,0
,Bay Minette,"8,000",41,0,1,1,39,129,11,112,6,0
,Bayou La Batre,"2,166",25,0,2,1,22,125,22,87,16,2
,Bear Creek,"1,047",1,0,0,0,1,20,5,13,2,0
,Berry,"1,193",0,0,0,0,0,6,1,5,0,0
,Bessemer,"25,265",460,10,15,75,360,"1,872",211,"1,382",279,8
,Birmingham,"195,050","3,280",142,62,477,"2,599","8,139","1,519","4,821","1,799",134
,Blountsville,"1,825",3,0,1,0,2,29,7,17,5,0
,Brent,"2,995",18,0,1,1,16,99,9,84,6,0
,Brewton,"5,251",46,0,3,0,43,148,18,119,11,3
,Bridgeport,"2,256",8,0,0,0,8,53,11,35,7,0
,Brookside,"1,218",1,0,0,0,1,13,3,9,1,0
,Brundidge,"2,053",11,1,0,4,6,61,8,48,5,0
,Butler,"1,846",4,0,0,1,3,38,9,23,6,0
,Camden,"1,808",2,0,0,0,2,10,3,4,3,0
,Camp Hill,977,3,2,0,1,0,8,0,8,0,0
,Carbon Hill,"1,714",3,0,1,0,2,36,7,26,3,0
,Castleberry,469,0,0,0,0,0,6,3,3,0,0
,Cedar Bluff,"1,879",5,0,0,0,5,41,6,29,6,0
,Centre,"3,546",8,0,2,0,6,186,20,153,13,1
,Centreville,"2,803",10,0,5,0,5,42,12,30,0,0
,Chatom,"1,034",3,0,1,0,2,8,2,5,1,0
,Cherokee,958,1,0,0,0,1,24,4,16,4,3
,Chickasaw,"6,333",27,2,3,2,20,118,19,87,12,2
,Childersburg,"4,631",9,0,0,1,8,107,44,49,14,0
,Citronelle,"3,916",19,2,0,1,16,48,13,31,4,0
,Clanton,"8,799",47,3,3,2,39,393,128,250,15,3
,Clayhatchee,473,2,0,0,0,2,7,1,6,0,0
,Clayton,"2,258",8,0,0,0,8,17,5,11,1,0
,Cleveland,"1,242",2,0,0,0,2,14,2,10,2,0
,Coffeeville,260,0,0,0,0,0,0,0,0,0,0
,Collinsville,"2,029",2,1,0,0,1,23,4,15,4,0
,Columbia,691,0,0,0,0,0,1,0,1,0,0
,Columbiana,"4,347",19,0,0,1,18,532,450,76,6,0
,Coosada,"1,276",1,0,0,0,1,9,3,3,3,0
,Cordova,"1,663",7,0,1,0,6,57,10,43,4,0
,Cottonwood,"1,046",2,0,0,0,2,20,4,15,1,1
,Creola,"1,936",5,0,0,0,5,42,6,31,5,0
,Crossville,"1,810",0,0,0,0,0,3,1,0,2,0
,Cullman,"19,065",24,0,10,6,8,684,39,611,34,1
,Dadeville,"2,962",4,0,0,1,3,55,6,42,7,0
,Daleville,"4,876",24,0,2,4,18,99,16,76,7,3
,Daphne,"29,871",22,1,2,1,18,365,122,220,23,0
,Dauphin Island,"1,843",3,0,0,0,3,18,2,16,0,0
,Decatur,"57,831",242,12,21,34,175,"1,501",182,"1,166",153,162
,Demopolis,"6,885",50,1,4,2,43,224,38,175,11,0
,Dora,"2,281",2,0,0,0,2,58,9,40,9,0
,Dothan,"71,196",749,14,59,44,632,"2,686","1,003","1,575",108,31
,Double Springs,"1,083",3,0,0,1,2,25,7,13,5,0
,Douglas,765,0,0,0,0,0,20,5,11,4,0
,East Brewton,"2,261",8,0,0,0,8,32,3,25,4,0
,Eclectic,"1,234",6,0,0,0,6,19,2,14,3,0
,Elba,"3,398",12,1,1,0,10,119,38,70,11,3
,Elberta,"2,036",6,1,2,0,3,81,10,46,25,0
,Enterprise,"29,936",172,1,7,6,158,729,144,525,60,3
,Eufaula,"12,528",57,2,4,6,45,316,58,236,22,6
,Eutaw,"2,823",3,0,0,0,3,10,1,6,3,0
,Evergreen,"3,309",15,1,1,2,11,32,6,20,6,0
,Excel,546,4,1,0,0,3,22,7,14,1,1
,Fairhope,"23,747",43,1,6,3,33,364,60,280,24,3
,Fayette,"4,132",7,0,0,0,7,69,8,54,7,1
,Flomaton,"1,455",9,1,1,0,7,61,21,36,4,1
,Florala,"1,904",6,0,1,0,5,56,11,30,15,0
,Florence,"40,063",233,1,31,6,195,"1,060",175,787,98,1
,Foley,"23,629",38,2,5,4,27,554,145,367,42,3
,Fort Deposit,"1,154",11,0,0,1,10,43,4,27,12,0
,Fort Payne,"14,845",22,0,5,2,15,265,37,202,26,3
,Frisco City,"1,156",4,1,0,0,3,17,6,10,1,0
,Fultondale,"9,699",15,0,2,4,9,271,25,197,49,2
,Gadsden,"33,521",189,6,15,17,151,"1,302",152,"1,009",141,13
,Gardendale,"16,861",61,0,3,8,50,366,14,325,27,1
,Geneva,"4,169",11,0,1,0,10,84,10,69,5,0
,Georgiana,"1,303",14,1,1,0,12,33,3,29,1,0
,Geraldine,910,0,0,0,0,0,12,2,8,2,0
,Gilbertown,721,1,0,0,0,1,7,0,7,0,0
,Glencoe,"5,406",4,0,0,0,4,25,3,15,7,0
,Gordo,"1,590",2,0,0,0,2,6,2,3,1,0
,Gordon,293,0,0,0,0,0,7,1,6,0,0
,Grant,"1,042",1,0,1,0,0,18,5,12,1,0
,Greensboro,"2,179",0,0,0,0,0,0,0,0,0,0
,Guin,"2,158",6,0,1,1,4,23,2,11,10,0
,Gulf Shores,"16,274",54,1,6,0,47,394,31,356,7,2
,Guntersville,"8,858",29,1,8,3,17,275,45,185,45,1
,Gurley,826,2,0,0,0,2,26,6,18,2,1
,Hackleburg,"1,430",1,0,0,0,1,8,2,6,0,0
,Haleyville,"4,366",23,0,2,0,21,194,74,108,12,0
,Hanceville,"3,261",10,0,1,0,9,66,9,48,9,0
,Harpersville,"1,752",6,0,0,1,5,22,3,18,1,1
,Hartford,"2,666",3,0,0,0,3,15,3,11,1,1
,Hartselle,"15,626",30,2,5,0,23,161,20,123,18,1
,Hayden,"1,328",2,0,0,1,1,16,4,11,1,0
,Hayneville,751,3,1,0,0,2,5,0,5,0,0
,Headland,"5,320",2,0,0,0,2,51,15,34,2,0
,Heflin,"3,402",2,0,0,0,2,39,9,21,9,0
,Helena,"22,035",21,2,3,0,16,123,16,93,14,0
,Henagar,"2,293",2,0,0,0,2,20,5,13,2,0
,Hillsboro,408,0,0,0,0,0,0,0,0,0,0
,Hokes Bluff,"4,451",2,0,0,0,2,29,4,20,5,0
,Hollywood,921,2,0,0,1,1,31,3,28,0,0
,Homewood,"25,788",19,0,1,4,14,341,26,283,32,0
,Hoover,"92,491",90,2,16,13,59,"1,443",114,"1,251",78,1
,Hueytown,"16,313",70,5,4,8,53,549,122,374,53,2
,Huntsville,"218,897",654,0,68,61,525,"3,297",613,"2,348",336,6
,Ider,743,1,0,0,0,1,26,5,18,3,0
,Irondale,"13,528",38,0,2,6,30,344,142,148,54,2
,Jackson,"4,576",30,0,5,0,25,116,29,81,6,0
,Jacksons Gap,757,5,0,0,0,5,20,2,13,5,0
,Jacksonville,"13,025",120,0,6,0,114,260,58,196,6,1
,Jasper,"14,312",60,1,8,2,49,677,174,443,60,2
,Jemison,"2,662",17,0,5,2,10,69,14,46,9,0
,Killen,"1,043",5,0,0,0,5,16,3,11,2,0
,Kimberly,"4,036",6,0,0,0,6,22,2,15,5,0
,Kinsey,"2,290",0,0,0,0,0,1,1,0,0,0
,Kinston,589,3,0,0,0,3,37,7,28,2,2
,LaFayette,"2,579",3,0,0,0,3,25,6,18,1,0
,Lake View,"3,709",3,0,1,0,2,22,6,13,3,0
,Lanett,"6,716",34,0,3,5,26,181,31,129,21,1
,Leeds,"12,206",40,1,5,2,32,231,30,183,18,1
,Leesburg,914,1,0,0,0,1,6,0,5,1,0
,Leighton,662,0,0,0,0,0,9,3,4,2,0
,Level Plains,"1,823",11,0,0,1,10,31,2,27,2,1
,Lincoln,"7,256",34,0,3,2,29,164,26,104,34,2
,Linden,"1,856",11,1,1,1,8,24,8,12,4,0
,Lineville,"2,469",3,0,0,0,3,10,3,7,0,0
,Lipscomb,"2,018",2,0,0,0,2,2,0,1,1,0
,Littleville,"1,041",1,0,0,1,0,8,1,5,2,0
,Livingston,"3,112",16,0,0,1,15,30,10,18,2,0
,Lockhart,445,0,0,0,0,0,0,0,0,0,0
,Luverne,"2,658",12,1,3,2,6,47,5,36,6,0
,Maplesville,643,1,0,0,0,1,15,4,11,0,0
,Margaret,"5,685",3,0,0,0,3,31,2,25,4,0
,McIntosh,198,3,0,0,0,3,20,6,14,0,1
,Mentone,322,0,0,0,0,0,9,4,4,1,0
,Midfield,"5,036",25,1,0,7,17,56,7,41,8,0
,Midland City,"2,285",15,0,1,3,11,64,15,45,4,1
,Millbrook,"17,567",32,1,5,3,23,429,20,379,30,0
,Millport,960,1,0,0,1,0,3,1,2,0,0
,Millry,439,1,0,0,0,1,7,2,4,1,0
,Mobile,"239,323","2,218",41,124,135,"1,918","7,211","1,077","5,521",613,15
,Monroeville,"5,797",52,3,1,1,47,138,11,116,11,1
,Montevallo,"7,517",7,0,0,0,7,73,14,57,2,3
,Moody,"13,862",23,2,3,1,17,140,12,95,33,0
,Morris,"2,246",0,0,0,0,0,12,1,8,3,0
,Moulton,"3,353",13,0,1,2,10,155,17,129,9,0
,Mountain Brook,"21,910",6,0,1,0,5,206,36,161,9,1
,Mount Vernon,"1,371",6,0,0,0,6,31,19,11,1,1
,Muscle Shoals,"16,917",61,0,5,1,55,413,28,359,26,1
,Napier Field,410,2,0,0,0,2,5,3,2,0,0
,New Brockton,"1,453",2,0,0,0,2,21,5,13,3,0
,New Hope,"2,884",3,0,0,0,3,31,5,22,4,0
,Newton,"1,615",13,0,2,1,10,46,8,32,6,0
,North Courtland,486,0,0,0,0,0,0,0,0,0,0
,Northport,"30,901",110,0,5,7,98,508,70,403,35,3
,Notasulga,894,2,0,0,0,2,7,0,3,4,0
,Odenville,"5,026",11,0,1,1,9,58,9,41,8,0
,Ohatchee,"1,203",4,0,1,0,3,27,2,20,5,0
,Oneonta,"6,798",19,0,2,2,15,262,17,240,5,1
,Opelika,"32,010",259,7,23,19,210,877,90,718,69,5
,Opp,"6,641",31,0,3,4,24,140,24,109,7,0
,Orange Beach,"8,530",32,0,5,1,26,206,16,182,8,0
,Owens Crossroads,"2,648",4,0,0,0,4,32,1,25,6,0
,Oxford,"22,318",52,0,7,5,40,650,47,575,28,0
,Ozark,"14,299",75,0,5,6,64,491,65,389,37,6
,Parrish,977,5,0,0,2,3,34,12,21,1,0
,Pelham,"24,920",33,0,1,2,30,329,25,264,40,3
,Pell City,"13,607",40,1,5,3,31,313,24,263,26,0
,Pennington,329,0,0,0,0,0,0,0,0,0,0
,Phenix City,"38,076",334,10,24,31,269,"1,408",186,"1,047",175,4
,Phil Campbell,988,2,0,0,0,2,14,5,7,2,0
,Pickensville,545,0,0,0,0,0,3,0,1,2,0
,Piedmont,"4,779",5,0,2,0,3,10,0,7,3,0
,Pine Hill,751,6,3,0,0,3,10,2,7,1,1
,Pleasant Grove,"9,454",22,0,3,0,19,93,20,65,8,1
,Prattville,"38,679",106,5,7,8,86,895,58,779,58,1
,Priceville,"3,822",7,0,3,0,4,19,3,13,3,0
,Prichard,"18,936",157,3,7,19,128,399,108,213,78,20
,Ragland,"1,715",2,0,0,0,2,17,1,13,3,0
,Rainbow City,"10,150",11,0,6,1,4,117,17,94,6,0
,Rainsville,"5,685",4,0,2,0,2,13,0,10,3,1
,Ranburne,420,2,0,0,0,2,6,1,5,0,0
,Red Bay,"3,177",7,0,2,0,5,51,5,40,6,0
,Red Level,431,0,0,0,0,0,1,0,1,0,0
,Repton,230,0,0,0,0,0,0,0,0,0,0
,Riverside,"2,265",4,0,0,0,4,27,4,20,3,0
,Robertsdale,"7,116",24,0,2,2,20,389,115,268,6,0
,Rogersville,"1,370",3,0,0,0,3,18,6,9,3,1
,Russellville,"10,768",26,1,3,0,22,225,40,170,15,1
,Samson,"1,856",4,0,0,0,4,12,3,8,1,0
,Saraland,"16,459",23,0,2,3,18,319,21,274,24,0
,Sardis City,"1,787",0,0,0,0,0,22,5,15,2,0
,Satsuma,"6,811",4,0,0,0,4,30,2,23,5,0
,Selma,"17,296",133,7,7,11,108,280,91,166,23,3
,Shorter,366,0,0,0,0,0,0,0,0,0,0
,Silverhill,"1,341",3,0,0,0,3,12,1,10,1,0
,Skyline,843,0,0,0,0,0,0,0,0,0,0
,Slocomb,"2,099",1,0,0,0,1,10,0,9,1,0
,Snead,"1,023",1,0,0,0,1,17,1,9,7,0
,Somerville,802,1,0,0,0,1,7,1,5,1,0
,Southside,"9,524",4,1,0,0,3,22,0,16,6,0
,Spanish Fort,"10,689",4,0,0,2,2,185,26,152,7,0
,Springville,"5,048",12,0,0,1,11,49,7,36,6,1
,Stevenson,"1,963",7,0,1,1,5,29,4,20,5,0
,St. Florian,704,2,0,0,0,2,22,2,19,1,0
,Sulligent,"1,806",1,0,0,0,1,20,7,12,1,0
,Sumiton,"2,405",5,0,2,0,3,64,6,48,10,0
,Summerdale,"1,587",6,0,1,0,5,43,6,34,3,1
,Sweet Water,221,0,0,0,0,0,0,0,0,0,0
